FileNumber,Fragment,IsotopeRatio,IntegratedIsotopeRatio,Average,StdDev,StdError,RelStdError,TICVar,TIC*ITVar,TIC*ITMean,SumTotalCounts,ShotNoise
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/alanine/02032022_alanine_peakCapture_140_01b.txt,140,13C/UnSub,0.04513170404854906,0.04524900893709524,0.001636058150853016,6.8526935067727e-05,0.0015144405740022398,0.4072772379895687,0.04750626159058661,235210.2649122807,18729586.11199282,0.0011367528880571434
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/alanine/02032022_murch_peakCapture_140_01.txt,140,13C/UnSub,0.04639469001861961,0.046514535625437364,0.0016640262395880622,5.3818454764709416e-05,0.0011570244449624852,0.432823000923123,0.05706776880688351,230023.19769874477,32514435.66337876,0.0008519679906416677
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/alanine/02032022_murch_peakCapture_140_02.txt,140,13C/UnSub,0.04637400863531467,0.046468784710386554,0.0016834645642639053,4.614396948365719e-05,0.000993010033966807,0.4451415186989822,0.033887740888612884,229129.63110443274,46031927.634407595,0.0007161764619932327
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/alanine/02032022_alanine_peakCapture_140_02.txt,140,13C/UnSub,0.045135123053059265,0.045276215932238996,0.0016706892911499804,6.764423215283228e-05,0.001494034577758653,0.4092745763807561,0.04768147159625814,235516.87213114754,20171429.67487745,0.0010953345514160672
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/alanine/02032022_alanine_peakCapture_140_03.txt,140,13C/UnSub,0.04513520162655669,0.045223322049085746,0.001570001910585839,5.951076884151325e-05,0.0013159309432624123,0.41381033742135054,0.0561642708849003,234601.86637931035,23331442.572829805,0.0010184600223012044
