FileNumber,Fragment,IsotopeRatio,IntegratedIsotopeRatio,Average,StdDev,StdError,RelStdError,TICVar,TIC*ITVar,TIC*ITMean,SumTotalCounts,ShotNoise
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/01312022/15N/01312022_asparticAcid_peakcapture_156_02.txt,156,13C/UnSub,0.006365879907836552,0.006187061061223852,0.000987197593086285,7.878694514201686e-05,0.012734147014613777,0.20123258279374046,0.042659284740457305,240416.53503184713,4571961.656714967,0.005898959214688451
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/01312022/15N/01312022_asparticAcid_peakcapture_156_03.txt,156,13C/UnSub,0.006560682269080448,0.006376368417922305,0.0010315314908594076,8.339437829341562e-05,0.013078663720091177,0.20150677219378324,0.04630967315053558,241110.61437908496,4402986.260314939,0.005922318969658278
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/01312022/15N/01312022_murch_peakcapture_156_01.txt,156,13C/UnSub,0.006140820991968505,0.005935496679467155,0.0009669956966211513,8.231614019643606e-05,0.01386845021431733,0.23920451499138207,0.03334608412765055,252479.14492753622,3932082.1803797754,0.006474917774652999
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/01312022/15N/01312022_murch_peakcapture_156_02.txt,156,13C/UnSub,0.00630836336712314,0.0060688451588918535,0.0010799398226316423,8.674285395892714e-05,0.014293140076548935,0.2338183131730821,0.03274495908692667,252213.4322580645,4437549.296953158,0.0060145222549297115
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/01312022/15N/01312022_murch_peakcapture_156_03.txt,156,13C/UnSub,0.005997966724014873,0.0057708471541421,0.0009693283673765495,7.687273988295524e-05,0.013320876091438125,0.2510701871444643,0.025965255227154177,249176.19496855346,4582501.5865668915,0.006067974750021724
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/01312022/15N/01312022_asparticAcid_peakcapture_156_01b.txt,156,13C/UnSub,0.006229016920109971,0.006073921324747898,0.0008777762145695969,7.119705248113058e-05,0.011721760733225443,0.21517816289705133,0.04372912382174678,240470.73684210525,4425156.540237909,0.0060606996540957065
