FileNumber,Fragment,IsotopeRatio,IntegratedIsotopeRatio,Average,StdDev,StdError,RelStdError,TICVar,TIC*ITVar,TIC*ITMean,SumTotalCounts,ShotNoise
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/beta alanine/02032022_murch_betaAlanine_peakCapture_126_04.txt,126,13C/UnSub,0.0341116469246104,0.034085093194601686,0.0021158843576788164,8.429885061136162e-05,0.0024731882095810924,0.4317593341613041,0.02638109577175345,257401.3650793651,12015887.875164233,0.0016152440578161684
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/beta alanine/02032022_betaAlanine_peakCapture_126_03.txt,126,13C/UnSub,0.033583401867518285,0.03358135903636273,0.0014898385103202351,5.273971156996147e-05,0.0015705055746211343,0.4811087044446805,0.04144173339832501,251678.5864661654,23687939.37979423,0.0011588294983819168
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/beta alanine/02032022_betaAlanine_peakCapture_126_02b.txt,126,13C/UnSub,0.03351620529691706,0.033484111600327805,0.0014372413188496454,4.7670285452061676e-05,0.001423668814065086,0.4969433811865989,0.04620152948150139,250201.08800880087,27956789.00082316,0.001067692581861536
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/beta alanine/02032022_murch_betaAlanine_peakCapture_126_02.txt,126,13C/UnSub,0.03491478147142286,0.0347787977506497,0.002320000948217226,9.768966277086413e-05,0.0028088855592784024,0.41617195287873143,0.030496848664288267,259046.1684397163,10272919.912872106,0.0017280367512052983
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/beta alanine/02032022_betaAlanine_peakCapture_126_04.txt,126,13C/UnSub,0.03377684048380254,0.03374888697573614,0.0014783400610392683,5.306931540172938e-05,0.0015724760179464203,0.4765297230811705,0.04053513836559325,251908.94201030929,22823890.194128565,0.0011773957192245652
/Users/sarahzeichner/Documents/Caltech/Research/Murchison AA/Jan2022 - PristineMurchData/Raw Data/02032022/beta alanine/02032022_murch_betaAlanine_peakCapture_126_03.txt,126,13C/UnSub,0.03386685910447756,0.033985236597992276,0.0022194692632729203,8.928014716255626e-05,0.002627027383055812,0.42814905568831035,0.026963584380824974,257951.01779935276,11749864.068846317,0.0016389312360063247
